"","reporting_date","GE","n"
"166",2020-03-21,"50-69",47
"167",2020-03-21,"60-69",33
"168",2020-03-21,"70+",39
"169",2020-03-22,"0-9",5
"170",2020-03-22,"10-19",5
"171",2020-03-22,"20-39",37
"172",2020-03-22,"30-39",53
"173",2020-03-22,"40-59",65
"174",2020-03-22,"50-69",50
"175",2020-03-22,"60-69",50
"176",2020-03-22,"70+",49
"177",2020-03-23,"0-9",1
"178",2020-03-23,"10-19",4
"179",2020-03-23,"20-39",41
"180",2020-03-23,"30-39",53
"181",2020-03-23,"40-59",53
"182",2020-03-23,"50-69",64
"183",2020-03-23,"60-69",61
"184",2020-03-23,"70+",50
"185",2020-03-24,"0-9",6
"186",2020-03-24,"10-19",15
"187",2020-03-24,"20-39",68
"188",2020-03-24,"30-39",76
"189",2020-03-24,"40-59",90
"190",2020-03-24,"50-69",100
"191",2020-03-24,"60-69",68
"192",2020-03-24,"70+",149
"193",2020-03-25,"0-9",5
"194",2020-03-25,"10-19",16
"195",2020-03-25,"20-39",44
"196",2020-03-25,"30-39",74
"197",2020-03-25,"40-59",84
"198",2020-03-25,"50-69",85
"199",2020-03-25,"60-69",70
"200",2020-03-25,"70+",102
"201",2020-03-26,"0-9",10
"202",2020-03-26,"10-19",15
"203",2020-03-26,"20-39",69
"204",2020-03-26,"30-39",90
"205",2020-03-26,"40-59",109
"206",2020-03-26,"50-69",116
"207",2020-03-26,"60-69",90
"208",2020-03-26,"70+",111
"209",2020-03-27,"0-9",7
"210",2020-03-27,"10-19",15
"211",2020-03-27,"20-39",76
"212",2020-03-27,"30-39",92
"213",2020-03-27,"40-59",130
"214",2020-03-27,"50-69",135
"215",2020-03-27,"60-69",100
"216",2020-03-27,"70+",169
"217",2020-03-28,"0-9",13
"218",2020-03-28,"10-19",18
"219",2020-03-28,"20-39",52
"220",2020-03-28,"30-39",87
"221",2020-03-28,"40-59",88
"222",2020-03-28,"50-69",88
"223",2020-03-28,"60-69",78
"224",2020-03-28,"70+",139
"225",2020-03-29,"0-9",5
"226",2020-03-29,"10-19",10
"227",2020-03-29,"20-39",44
"228",2020-03-29,"30-39",66
"229",2020-03-29,"40-59",77
"230",2020-03-29,"50-69",81
"231",2020-03-29,"60-69",52
"232",2020-03-29,"70+",119
"233",2020-03-30,"0-9",18
"234",2020-03-30,"10-19",24
"235",2020-03-30,"20-39",97
"236",2020-03-30,"30-39",126
"237",2020-03-30,"40-59",176
"238",2020-03-30,"50-69",160
"239",2020-03-30,"60-69",120
"240",2020-03-30,"70+",212
